file_path,task_name,augmentation,num_frames,time,fps
demo_data/lafan/obstacles6_subject5.npy,obstacles6_subject5,original,7551,1812.4834458827972,4.166107015847625
demo_data/lafan/obstacles6_subject1.npy,obstacles6_subject1,original,7551,1976.4440259933472,3.8204977731180216
demo_data/lafan/obstacles5_subject4.npy,obstacles5_subject4,original,7386,2677.628994703293,2.758410524613564
demo_data/lafan/pushAndFall1_subject1.npy,pushAndFall1_subject1,original,4959,1846.309131860733,2.685899080725587
demo_data/lafan/pushAndFall1_subject4.npy,pushAndFall1_subject4,original,4959,2456.035430431366,2.019107680026027
demo_data/lafan/run2_subject1.npy,run2_subject1,original,7345,2319.093739271164,3.167185472333843
demo_data/lafan/run1_subject2.npy,run1_subject2,original,7135,2367.356171607971,3.0139106593131353
demo_data/lafan/run1_subject5.npy,run1_subject5,original,7135,2388.266824245453,2.9875221342800447
demo_data/lafan/pushAndStumble1_subject2.npy,pushAndStumble1_subject2,original,6801,2946.2464215755463,2.3083608859720126
demo_data/lafan/pushAndStumble1_subject3.npy,pushAndStumble1_subject3,original,6801,2963.0041818618774,2.2953055691357216
demo_data/lafan/run2_subject4.npy,run2_subject4,original,7345,2932.1263394355774,2.5050080213848775
demo_data/lafan/pushAndStumble1_subject5.npy,pushAndStumble1_subject5,original,6801,3032.865660429001,2.2424336457546867
demo_data/lafan/sprint1_subject2.npy,sprint1_subject2,original,8194,2952.3947298526764,2.7753741453158867
demo_data/lafan/walk1_subject1.npy,walk1_subject1,original,7840,2039.7210385799408,3.843662859632133
demo_data/lafan/sprint1_subject4.npy,sprint1_subject4,original,8194,3572.5682380199432,2.293588100794804
demo_data/lafan/walk2_subject1.npy,walk2_subject1,original,7146,2336.8219287395477,3.0579993760390902
demo_data/lafan/walk3_subject1.npy,walk3_subject1,original,7399,2393.0637633800507,3.0918524250057517
demo_data/lafan/walk2_subject3.npy,walk2_subject3,original,7146,2879.424545288086,2.4817458792916707
demo_data/lafan/walk1_subject2.npy,walk1_subject2,original,7840,3125.3447966575623,2.508523222264815
demo_data/lafan/walk1_subject5.npy,walk1_subject5,original,7840,3424.4782948493958,2.289399822388068
demo_data/lafan/walk3_subject2.npy,walk3_subject2,original,7399,2813.483715057373,2.6298357301311475
demo_data/lafan/walk2_subject4.npy,walk2_subject4,original,7146,3589.2720086574554,1.9909329754790348
demo_data/lafan/walk3_subject5.npy,walk3_subject5,original,7399,2326.270977497101,3.1806268794879555
demo_data/lafan/walk3_subject3.npy,walk3_subject3,original,7399,3548.6268961429596,2.085031821193164
demo_data/lafan/walk4_subject1.npy,walk4_subject1,original,4918,2369.4631266593933,2.0755756629704054
demo_data/lafan/walk3_subject4.npy,walk3_subject4,original,7399,4158.390672445297,1.7792941026507971
