file_path,total_frames,total_time,avg_fps
/home/sangjunpark/Downloads/lafan1/obstacles4_subject3.bvh,7401,146.4458,50.54
/home/sangjunpark/Downloads/lafan1/run1_subject2.bvh,7135,135.7983,52.54
/home/sangjunpark/Downloads/lafan1/walk1_subject2.bvh,7840,131.7564,59.50
/home/sangjunpark/Downloads/lafan1/fight1_subject5.bvh,7347,145.9151,50.35
/home/sangjunpark/Downloads/lafan1/obstacles3_subject4.bvh,3933,88.6524,44.36
/home/sangjunpark/Downloads/lafan1/run2_subject1.bvh,7345,172.1066,42.68
/home/sangjunpark/Downloads/lafan1/multipleActions1_subject4.bvh,4587,83.4191,54.99
/home/sangjunpark/Downloads/lafan1/walk4_subject1.bvh,4918,153.8592,31.96
/home/sangjunpark/Downloads/lafan1/fight1_subject3.bvh,7347,150.2702,48.89
/home/sangjunpark/Downloads/lafan1/obstacles6_subject5.bvh,7551,175.1664,43.11
